,Japanese Name,Romanized Name,Official English Name,Debut,Affiliations,Occupations,Status,Birthday,,Character,Origin,Residence,Age,Height,Blood Type,English Name,Meaning,Type,Age at Death,LiveAction Portrayal,Alias,First Appearance,Admiral,Main Ship,Total Bounty,Affiliation,Patriarch,Captain,Occupation,Leaders,Residency,12th Leader,13th Tobe Leader,Kingdom,Boss,Matriarch,GovernorGeneral, Number,Size,First appearance,Region,Netflix English VA,Birth Name,Japanese VA,Funi English VA,Features,Weight,Fruit Debut,Usage Debut,Previous User, key,Vessel,Homeland,Completion Date,Length,Affiliates
10,ベルメール,Berumēru,Belle-Mère (VIZ Media);Bellemere (Funimation)Bell-mère (OPCG),Chapter 77; Episode 32,Marines (former),Mikan Farmer; Marine Officer (former),Deceased,December 3rd,Cynthia Cranz,Bell-mère,East Blue (Conomi Islands),Cocoyasi Village,,"186 cm (6'1"")",S,,,,30,Genna Galloway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,ベポ,Bepo,Bepo,Chapter 498; Episode 392,Heart Pirates,Pirate; Navigator; Guardians' helper,Alive,November 20th (Fur Day),Cris George,Bepo,Zou,Zou (former);Swallow Island (former),20 (debut)22 (after timeskip),"240 cm (7'10"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,ベン・ベックマン,Ben Bekkuman,"Benn Beckman;Ben Beckman (VIZ, formerly)",Chapter 1; Episode 4,Red Hair Pirates,Pirate; First Mate,Alive,November 9th,Sean Hennigan,Benn Beckman,North Blue,,38 (debut);48 (pre-timeskip);50 (after timeskip),"206 cm (6'9"")",X,,,,,Laudo Liebenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Bane Bane no Mi,Beramī,Bellamy,Chapter 222; Episode 146,Donquixote Pirates (former); Bellamy Pirates (former),Dyer; Pirate Captain (former),Alive,August 7th,Justin Cook,Bellamy,,Dressrosa (former)Notice (former),25 (debut)27 (after timeskip),"240 cm (7'10"")",F,Boing-Boing Fruit (VIZ); Spring-Spring Fruit (Funimation),Spring,Paramecia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Mane Mane no Mi,Bensamu,Bentham,Chapter 129; Episode 78,Newkama Land; Baroque Works (former),Queen of Newkama Land; Officer Agent (former); Prisoner of the Great Prison,Alive,August 15th,Barry YandellMike McFarland (Unlimited Adventure),Bentham,East Blue,,30 (debut)32 (after timeskip),"238 cm (7'10"")",F,Clone-Clone Fruit,Imitation,Paramecia,,,"""Mr. 2 Bon Kurei"" (Mr. 2（ミスター・ツー）・ボン・クレー, Misutā Tsū Bon Kurē?, Official Translation: Mr. 2 Bon Clay)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,ベレット,Beretto,Beret,Chapter 537; Episode 439,Unnamed kingdom (former),Pirate; Prince (former),Alive,,Sam Swanson (male),Bellett,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,ヨンタマリア大船団,Yonta Maria Dai-sendan,Yonta Maria Fleet,,,,,,,Yonta Maria Grand Fleet,,,,,,,,,,,,Chapter 704; Episode 633,Orlumbus,Yonta Maria,"At least 148,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,ヴィンスモーク家,Vinsumōku-ke,Vinsmoke Family,,,,Extant,,,Vinsmoke Family,,,,,,,,,,,,Chapter 43; Episode 20,,,,Germa Kingdom; Germa 66,Vinsmoke Judge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,トンタッタ海賊団,Tontatta Kaizokudan,Tontatta Pirates,,,,,,,Tontatta Pirates,,,,,,,,,,,,Chapter 799; Episode 745,,Usoland,,,,Leo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,綱渡りフナンボローズ,Tsunawatari Funan Borōzu,Tightrope Funan Boros,Chapter 8; Episode 4,Buggy Pirates;Buggy and Alvida Alliance (Non-Canon)≠;Buggy's Delivery (Non-Canon)≠,Pirates,Alive,February 25th,Sonny StraitJustin CookJ. Michael Tatum,Tightrope Walking Funan Bros,East Blue,"Buggy Town, Karai Bari Island (Non-Canon)≠",,,,,,,,Sizo MahlanguGreg Parvess,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,黒ひげ海賊団,Kurohige Kaizokudan,Black Beard Pirates (Edited dub);Blackbeard Pirates (Uncut dub),,,,,,,Blackbeard Pirates,,,,,,,,,,,,Chapter 234; Episode 151,Marshall D. Teach,Saber of Xebec,"Main Crew:At least 4,194,200,000[Note 1]At least 2,445,800,000[Note 2]At least 198,200,000[Note 3]Organization:At least 4,246,200,000[Note 4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,ビッグ・マム海賊団,Biggu Mamu Kaizokudan,Big Mom Pirates,,,,,,,Big Mom Pirates,,,,,,,,,,,,Chapter 651; Episode 570,,Queen Mama Chanter,"Main Crew:At least 10,121,500,000500,000,00050,000,000Organization:At least 10,121,500,000At least 11,044,500,000",,,Charlotte Linlin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,麦わらの一味,Mugiwara no Ichimi,Straw Hat Pirates;Straw Hat Crew (OPCG),,,,,,,Straw Hat Pirates,,,,,,,,,,,,Chapter 5; Episode 3,,Going Merry (Deceased: Destroyed)† (Ch.41-430 and Ep.17-312)Thousand Sunny (Ch.436-present and Ep.321-present),"8,816,001,000[bounty 1]3,161,000,100[bounty 2]2,008,000,100[bounty 3]1,570,000,100[bounty 4]800,000,050[bounty 5]700,000,050[bounty 6]667,000,050[bounty 7]239,000,000[bounty 8]30,000,000[bounty 9]",,,Monkey D. Luffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,麦わら大船団,Mugiwara Dai-sendan,Straw Hat Grand FleetStraw Hat Fleet (Funimation subs),,,,,,,Straw Hat Grand Fleet,,,,,,,,,,,,Chapter 800; Episode 745,,,"At least 10,380,001,000[bounty 1]At least 6,225,000,100[bounty 2]At least 3,572,000,100[bounty 3]At least 3,134,000,100[bounty 4]",,,Monkey D. Luffy,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,リク一族,Riku Ichizoku,Riku Dynasty (Viz)Riku Family (Funimation),,,,Extant,,,Riku Family,,,,,,,,,,,,Chapter 702; Episode 631,,,,,,,Royalty,Riku Doldo III,,,,,,,,,,,,,,,,,,,,,,,,,,
25,オロチお庭番衆,Orochi Oniwabanshū,Orochi's Oniwabanshu,,,,,,,Orochi Oniwabanshu,,,,,,,,,,,,Chapter 931; Episode 925,,,,Wano Country; Kurozumi Family; Kozuki Family (Former),,Fukurokuju,Ninja,,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,
26,ナンバーズ,Nanbāzu,Numbers,,,,,,,Numbers,,,,,,,,,,,,Chapter 954; Episode 955,,,,Beasts Pirates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,赤鞘九人男,Akazaya Kunin Otoko,Akazaya Nine,,,,,,,Nine Red Scabbards,,,,,,,,,,,,Chapter 656; Episode 580,,,,Wano Country; Kozuki Family,,,"Samurai, Retainers",Kin'emon,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,
28,WCI（ダブリューシーアイ）31（サーティーワン）,Daburyū-Shī-Ai Sātī-Wan,WCI 31 (VIZ)WCI: 31 (Funimation),,,,,,,WCI 31,,,,,,,,,,,,Chapter 880; Episode 852,,,,Totto Land,,,Head Chefs,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,新巨兵海賊団,Shin Kyo Hei Kaizoku-dan,New Giant Pirates,,,,,,,New Giant Warrior Pirates,,,,,,,,,,,,Chapter 706; Episode 639,,Naglfar,,,,Hajrudin,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,ネフェルタリ家,Neferutari-ke,Nefeltari Family,,,,Extant,,,Nefertari Family,,,,,,,,,,,,Chapter 103; Episode 62,,,,,,,,,,Nefertari Cobra,Nefertari Vivi,Arabasta,,,,,,,,,,,,,,,,,,,,,,
31,ネプチューン一族,Nepuchūn Ichizoku,Neptune Family,,,,Extant,,,Neptune Family,,,,,,,,,,,,Chapter 609; Episode 528,,,,,,,Royalty,Neptune,,,,,,,,,,,,,,,,,,,,,,,,,,
32,狂死郎一家,Kyōshirō Ikka,Kyoshiro Family,,,,,,,Kyoshiro Family,,,,,,,,,,,,Chapter 919; Episode 909,,,,Wano Country; Kozuki Family; Kurozumi Family (defected); Beasts Pirates (former),,,Yakuza,,Wano Country,,,,Denjiro,,,,,,,,,,,,,,,,,,,,,
33,光月家,Kōzuki-ke,Kozuki Clan;Kouzuki Clan (OPCG),,,,,,,Kozuki Family,,,,,,,,,,,,Chapter 684; Episode 609,,,,,,,,"Kozuki Momonosuke, Kozuki Hiyori",Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,
34,バギー海賊団,Bagī Kaizokudan,Buggy's Band of Pirates,,,,Integrated into Buggy's Delivery,,,Buggy Pirates,,,,,,,,,,,,Chapter 8; Episode 4,,Big Top,"At least 3,320,000,000At least 144,000,00020,000,00015,000,000",,,"Buggy; Alvida (former, temporary during Buggy's second absence); Richie (former, temporary during Buggy's first absence)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,見廻組,Mimawari-gumi,Mimawari-gumi,,,,,,,Mimawarigumi,,,,,,,,,,,,Chapter 951; Episode 951,,,,Wano Country; Kurozumi Family,,,Samurai,Hotei,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,
36,門番,Monban,N/A,Chapter 24; Episode 9,Tessle Company,Kaya's security guards,Alive,July 1st (Right Guard),Yasuhiko TokuyamaTakehiko Watanabe,Mansion's Guards,East Blue (Syrup Village) (Right Guard),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,キッド海賊団,Kiddo Kaizokudan,Kid Pirates,,,,Unknown,,,Kid Pirates,,,,,,,,,,,,Chapter 498; Episode 392,,Victoria Punk (former),"At least 3,200,000,000At least 670,000,000At least 477,000,000",,,Eustass Kid,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,怪力デストロイヤーズ,Kairiki Desutoroiyāzu,Herculean Destroyers,Chapter 329; Episode 233,Franky Family,Dismantlers; Bounty Hunters,Alive,,,Kairiki Destroyers,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,公正なる11人の陪審員,Kōsei-naru Jūichinin no Baishin'in,Eleven Righteous Jurors,,,,,,,Just Eleven Jurymen,,,,,,,,,,,,Chapter 384; Episode 271,,,,World Government (Baskerville),,,"Jury members of the Enies Lobby court, Pirates (former)",Baskerville,Enies Lobby,,,,,,,,,,,,,,,,,,,,,,,,,
40,雇われ暴力団コアラ組,Yatoware Bōryokudan Koara-gumi,Koala Gang,Chapter 169; Episode 106,Rain Dinners,Bodyguards,Alive,,,Koala Mercenaries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,イッシー100（ワンハンドレッド）,Isshī Wanhandoreddo,100 Doctors (Viz)100 MDs (FUNimation),,,,,,,Isshi-100,,,,,,,,,,,,Isshi-20: Chapter 136; Episode 82Isshi-100: Chapter 637 (cover),,,,Sakura Kingdom; Bliking Pirates (disbanded); Drum Kingdom (former),,,Doctors,Kureha,Sakura Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,
42,頭山盗賊団,Atama-yama Tōzoku-dan,Atamayama Thieves Brigade,,,,,,,Mt. Atama Thieves,,,,,,,,,,,,Chapter 921; Episode 912,,,,,,,,Ashura Doji,Wano Country,,,,,,,,,,,,,,,,,,,,,,,,,
43,犬嵐銃士隊,Inuarashi Jūshi-tai,Musketeers,,,,,,,Inuarashi Musketeer Squad,,,,,,,,,,,,Chapter 804; Episode 753,,,,Mokomo Dukedom,,,Military,"Carrot, Inuarashi (Commander, Former),Shishilian (Captain)",,,,,,,,,,,,,,,,,,,,,,,,,,
44,イデオ海賊団,Ideo Kaizokudan,Ideo Pirate Crew,,,,,,,Ideo Pirates,,,,,,,,,,,,Chapter 799; Episode 744,,Unknown,,,,Ideo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,八宝水軍,Happō Suigun,Happosui Army (Viz),,,,,,,Happo Navy,,,,,,,,,,,,Chapter 704; Episode 633,,Happosai,"At least 752,000,000At least 542,000,000",,,"Sai, Chinjao (former)",,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ハートの海賊団,Hāto no Kaizokudan,Heart Pirates,,,,,,,Heart Pirates,,,,,,,,,,,,Chapter 498; Episode 392,,Polar Tang (former),"At least 3,000,000,500At least 500,000,500At least 440,000,500At least 200,000,500",,,Trafalgar D. Water Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,四皇,Yonkō,Four Emperors,,,,,,,Four Emperors,,,,,,,,,,,,Chapter 96; Episode 45,,,"14,233,900,000[bounty 1]15,295,600,000[bounty 2]18,094,000,000[bounty 3]",Three Great Powers,,,Pirate Captains,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,五老星,Gorōsei,"Five Elders (VIZ, Funimation);Five Elder Stars (formerly Funimation)",,,,,,,Five Elders,,,,,,,,,,,,Chapter 233; Episode 151,,,,World Government (World Nobles),,,Highest Authorities of the World Government (Publicly); World Nobles,,Mary Geoise,,,,,,,,,,,,,,,,,,,,,,,,,
49,チンジャオファミリー,Chinjao Famirī,Qing Jiao Family (Former); Chinjao Family,,,,Active,,,Chinjao Family,,,,,,,,,,,,Chapter 704; Episode 633,,,,,,,,Chinjao,,,,,,,,,,,,,,,,,,,,,,,,,,
50,美しき海賊団,Utsukushiki Kaizoku-dan,Beautiful Pirates,,,,,,,Beautiful Pirates,,,,,,,,,,,,Chapter 704; Episode 633,,Sleeping White Horse of the Forest,"At least 397,000,000At least 280,000,000",,,Cavendish,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,シャーロット家,Shārotto-ke,Charlotte Family,,,,Active,,,Charlotte Family,,,,,,,,,,,,Chapter 476; Episode 370,,,,,,,,,,,,,,Charlotte Linlin,,,,,,,,,,,,,,,,,,,,
52,バルトクラブ,Baruto Kurabu,Barto Club,,,,,,,Barto Club,,,,,,,,,,,,Chapter 705; Episode 634,,Going Luffy-senpai,"At least 267,000,000At least 217,000,000",,,Bartolomeo,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,大将,Taishō,Admiral,,,,,,,Admiral,,,,,,,,,,,,Chapter 303; Episode 225,,,,Marines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,百獣海賊団,Hyakujū Kaizokudan,"Animal Kingdom Pirates (VIZ Media and Funimation sub);Beast Pirates (Funimation dub, Funimation sub (former))",,,,,,,Beasts Pirates,,,,,,,,,,,,Chapter 595; Episode 513,,,"At least 11,179,100,000[bounty 1]At least 11,401,100,000[bounty 2]",,,,,,,,,,,,Kaidou,,,,,,,,,,,,,,,,,,,
55,ゾット,Zotto,Burr,Chapter 533; Episode 434,Marines G-1 Branch,Marine Lieutenant,Alive,,,Zotto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,象主（ズニーシャ）,Zunīsha,Zunesha,Chapter 802; Episode 751,,,Alive,December 18th,Reagan Murdock,Zunesha,Grand Line,New World,Over 1000,Over 35 km (21.75 miles)Length: Over 20 km (12.43 miles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,ズッカ,Zukka,Zukka,Chapter 564; Episode 489,Ally of the Whitebeard Pirates,Pirate; Captain,Alive,,,Zucca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,ゾディア,Zodia,Zodia,Chapter 553; Episode 462,Whitebeard Pirates,Pirate; Captain,Alive,,Patrick McAlister,Zodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,ゼウス,Zeusu,Zeus,Chapter 827; Episode 786,Big Mom Pirates (defected); Straw Hat Pirates,"Partner (相棒, Aibō?, Viz: ""Sidekick""); Living Weapon; Servant (former)",Alive,June 26th,Kevin D. Thelwell,Zeus,Grand Line,Sorcery Clima-Tact; Totto Land (former),,"232 cm (7'7"") (as a Cloud)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,ゼポ,Zepo,Zepo,Chapter 850; Episode 816,Nox Pirates,Pirate,Deceased,,Cris George,Zepo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,ゼオ,Zeo,Zeo,Chapter 611; Episode 530,New Fish-Man Pirates,Pirate; Pirate Officer,Alive,November 11th,Nazeeh Tarsha,Zeo,Grand Line (Ryugu Kingdom; Fish-Man Island),Fish-Man District (former),30,"325 cm (10'8"")",X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,ザンバイ,Zanbai,Zambai,Chapter 324; Episode 230,Franky Family; Galley-La Company,Dismantler; Bounty Hunter,Alive,March 8th,Doug Goodrich,Zambai,Grand Line (Water 7),Water 7,33 (debut)35 (after timeskip),"227 cm (7'5"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ゼフ,Zefu,Zeff,Chapter 43; Episode 20,Baratie; Cook Pirates (former),"Head Chef of Baratie, Pirate Captain (former)",Alive,April 2nd,Grant JamesGarrett Schenck (2019+),Zeff,East Blue,Baratie,65 (debut)67 (after timeskip),"189 cm (6'2½"")",XF,,,,,Craig Fairbrass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,Toge Toge no Mi,Zara,Zala,Chapter 155; Episode 103,New Spiders Cafe; Baroque Works  (Former),Spiders Cafe Owner; Assassin (Former); Officer Agent (Former),Alive,July 30th,Leah Clark,Zala,Grand Line,,26 (debut)28 (after timeskip),"187 cm (6'2"")",X,Spike-Spike Fruit,Spike,Paramecia,,,"Miss Doublefinger (ミス・ダブルフィンガー, Misu Daburufingā?, 4Kids: ""Ms. New Year's Eve"")Paula (ポーラ, Pōra?, VIZ: ""Pola"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,三鬼（ザンキ）,Zanki,Zanki,Chapter 991; Episode 1055,Beasts Pirates (Numbers),,Alive,,Kōji Takeda,Zanki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ザボー,Zabō,Zabo,Chapter 241; Episode 155,,,Deceased,,Kevin M. Connolly,Zabo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,ユリカー,Yurikā,Eureka,Chapter 151 (cover),Tulip Pirates,Pirate Captain,Alive,,,Yurikah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,ユキ,Yuki,Yuki,Chapter 129; Episode 78,,,Unknown,December 17th,Brittney Karbowski,Yuki,Grand Line,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ゼイディー,Zeidī,Zayde,Chapter 391; Episode 275,Ohara Archaeologists,Archaeologist,Deceased,,Craig Dvorak,Zadie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,ユーイ,Yūi,Yuey,Chapter 966; Episode 966,Roger Pirates,Pirate,Unknown,,,Yui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,ユウ,Yū,Yu,Chapter 98; Episode 48,,,Alive,July 19th,,Yu,East Blue,Loguetown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,ヨツバネ,Yotsubane,Yotsubane,Chapter 269; Episode 176,Shandia,Shandia Warrior,Alive,,,Yotsubane,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,ヨシモト,Yoshimoto,Yoshimoto,Chapter 157; Episode 94,,Restaurant owner,Alive,,Brian Mathis,Yoshimoto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,ヨサク,Yosaku,Yosaku,Chapter 42; Episode 20,Johnny; Roronoa Zoro's band (former),Bounty Hunter (former); Fisherman,Alive,November 10th,Josh Martin,Yosaku,East Blue,,24 (debut)26 (after timeskip),"185 cm (6'1"")",F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ヨーキ,Yōki,Yorki,Chapter 103; Episode 63,Rumbar Pirates,Pirate; Captain,Unknown,April 9th,Charles Baker (Episode 63);Chris Hury (Episode 378+),Yorki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,ヨモ,Yomo,Yomo,Chapter 806; Episode 755,Mokomo Dukedom (Inuarashi Musketeer Squad); Ninja-Pirate-Mink-Samurai Alliance,Musketeer,Alive,,John Stimac,Yomo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,欲（ヨーク）,Yōku,York,Chapter 1065; Episode 1095,Marines (SSG)World Government,,Alive,,Mutsumi Tamura,York,,Egghead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,矢ざえもん,Yazaemon,Yazaemon,Chapter 931; Episode 925,Beasts Pirates; Orochi Oniwabanshu (former),Ninja; Pirate,Alive,August 8th,Howard Wang,Yazaemon,Wano Country,"Flower Capital, Wano Country",24,"180 cm (5'10"")",S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,弥太っぺ,Yatappe,Yatappe,Chapter 952; Episode 946,,Yakuza boss; Prisoner (former); Samurai,Alive,,Stephen E. Moellering,Yatappe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,ヨコヅナ,Yokozuna,Yokozuna,Chapter 322; Episode 228,Tom's Workers (former),,Alive,,Mike McFarland,Yokozuna,,Water 7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ヤソップ,Yasoppu,Yasopp,Chapter 1; Episode 4,Red Hair Pirates,Pirate; Senior Officer; Sniper,Alive,August 2nd,Scott Freeman (2007-2014);Jeff Johnson (2019+),Yasopp,East Blue (Gecko Islands),Syrup Village (former),35 (debut);45 (pre-timeskip);47 (after timeskip),"183 cm (6'0"")",S,,,,,Stevel Marc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ようかん,Yōkan,N/A,Chapter 915; Episode 902,,Doctor,Alive,,Rick Oristano,Yokan,,Wano Country (Bakura Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ヤリスギ,Yarisugi,Yarisugi,Chapter 673; Episode 599,Marines; G-5,Commodore,Alive,,Ben Phillips,Yarisugi,,,,"220 cm (7'3"")",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,ヤメナハーレ,Yamenahāre,Yamenahare,Chapter 436,Marumieta,Manservant,Alive,,,Yamenahare,,Pucci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ヤモン,Yamon,Yamon,SBS Volume 96; Episode 966,Roger Pirates,Pirate,Unknown,,,Yamon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,お八女,O-Yame,N/A,Chapter 917; Episode 904,,,Alive,,Marianne Bray,Yame,,Wano Country (Okobore Town),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Inu Inu no Mi, Model: Okuchi no Makami",Yamato,Yamato,Chapter 971; Episode 972,Ninja-Pirate-Mink-Samurai Alliance (disbanded); Beasts Pirates (defected),,Alive,November 3rd,Michelle Rojas,Yamato,,Wano Country (Onigashima),28,"263 cm (8'8"")",F,"Dog-Dog Fruit, Model: Okuchi-no-Makami",Dog; Large-Mouthed True/Pure God,Mythical Zoan,,,"""Kozuki Oden"" (光月おでん, Kōzuki Oden?)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
